name,businessName,email,mobile,hearingSource.source,hearingSource.referralCode,productsCount,sellerProductsName,level1,level1_ids,level2,level2_ids,level3,level3_ids,level4,level4_ids,level5,level5_ids,createdDate
Pyramid Fire  Safety Pvt Ltd,Pyramid Fire  Safety Pvt Ltd,PyramidFire456@GMAIL.COM,9892646235,Gujarat Chamber of Commerce,GCC0721,1,compressor cylinder,"Machinery,Industrial Equipment & Plants",4,"Air Compressors, Accessories & Parts",PM10,Compressor Spare Parts & Consumables,L3PM130,Compressor Cylinder,L4PM1951,,,2021-11-22T04:09:04.211Z
Gujarat STEEL Works,Gujarat STEEL Works,gujaratsteelwork@gmail.com,9904469055,Gujarat Chamber of Commerce,GCC0721,1,furniture,Furniture,13,Furniture Racks & Shelves,FS5,Furniture,L3FS50,,,,,2021-11-22T04:10:34.326Z
Chamunda Steel Works labra,Chamunda Steel Works labra,chamundasteelwork@gamil.com,9925413075,Gujarat Chamber of Commerce,GCC0721,1,gate door,Building Equipment & Material,6,"Gate, Grilles, Fences & Railings",BC11,Gates,L3BC141,Gate Door,L4BC1738,,,2021-11-22T04:10:51.525Z
Avisio Creatives,Avisio Creatives,Avisioreatives54@GMAIL.COM,9870781015,Gujarat Chamber of Commerce,GCC0721,1,screen printing stickers,"Machinery,Industrial Equipment & Plants",4,Printing Machinery & Equipment,PM2,Screen Printing Equipment,L3PM29,Screen Printing Stickers,L4PM679,,,2021-11-22T04:12:30.567Z
Zenith Auto Corp,Zenith Auto Corp,ZenithAuto4556@GMAIL.COM,7777008843,Gujarat Chamber of Commerce,GCC0721,1,electric pressure washer,Electric & Electronic Appliances,8,Cleaning Machines & Equipments,E13,Pressure Washers,L3E203,Electric Pressure Washer,L4E2178,,,2021-11-22T04:17:01.686Z
Sun Food Equipments,Sun Food Equipments,SunEquipments856@GMAIL.COM,9146273875,Gujarat Chamber of Commerce,GCC0721,1,khakhra making machine,"Machinery,Industrial Equipment & Plants",4,Fast Food & Beverages Machinery,PM20,Snack Machine,L3PM232,Khakhra Making Machine,L4PM3240,,,2021-11-22T04:19:04.419Z
Bhagvati Steel Argon Welding,Bhagvati Steel Argon Welding,bhagvati@agmil.com,9099399175,Gujarat Chamber of Commerce,GCC0721,1,steel scrap,Industrial Consumables & Spares,5,Metal Scrap & Waste Materials,IS79,Steel Scrap,L3IS599,,,,,2021-11-22T04:20:59.829Z
Ambetronics Engineers Private Limited,Ambetronics Engineers Private Limited,Ambetronics54@GMAIL.COM,9320737646,Gujarat Chamber of Commerce,GCC0721,1,humidity control equipment,"Machinery,Industrial Equipment & Plants",4,Instrumentation & Control Equipments,PM44,Control Equipment,L3PM387,Humidity Control Equipment,L4PM4844,,,2021-11-22T04:22:01.542Z
Sham Fabrication  Rolling Shutter,Sham Fabrication  Rolling Shutter,mohdsab789@gmail.com,8160397414,Gujarat Chamber of Commerce,GCC0721,1,furnishing fabric,Home Use Textiles,24,Home Decor Fabric,HTF12,Home Decor & Furnishing Fabrics,L3HTF65,Furnishing Fabric,L4HTF795,,,2021-11-22T04:22:55.444Z
Radiant Enterprises,Radiant Enterprises,RadiantEnterprises56@GMAIL.COM,9821390992,Gujarat Chamber of Commerce,GCC0721,1,cup dispenser,"Machinery,Industrial Equipment & Plants",4,Vending Machines & Dispensers,PM33,Dispensers,L3PM310,Cup Dispenser,L4PM4050,,,2021-11-22T04:23:32.823Z
